	otu_id	size_denoised	size_clustered	kingdom	domain	phyllum	class	order	family	genus	species	closest_match	percent_identity	sample
0	centroid=8611da65f64225524f93bf014c6976de2ab0e221;size=47;;seqs=1	47	1	Eukaryota	TSAR	Stramenopiles-Gyrista	Chrysophyceae	Hibberdiales	Hibberdiaceae	Chrysocapsa	Chrysocapsa_wetherbeei	EF165145	95.6	Th38_18S
1	centroid=3b6fcdde430729db31873baca638267ec9b380ff;size=25;;seqs=1	25	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Vampyrellida	Leptophryidae	Leptophryidae_X	Leptophryidae_XX	KC511080	99.5	Th38_18S
2	centroid=e05afbbd21a37383dafb80e7326bee5f7b0bcbaf;size=30;;seqs=1	30	1	Eukaryota	TSAR	Stramenopiles-Gyrista	Chrysophyceae	Hibberdiales	Hibberdiaceae	Chrysocapsa	Chrysocapsa_wetherbeei	EF165145	96.1	Th38_18S
3	centroid=ccaf456376a5db4e20fb9f6e684150e1f7a46df1;size=393;;seqs=19	393	19	Eukaryota	TSAR	Stramenopiles-Gyrista	Eustigmatophyceae	Eustigmatophyceae_X	Eustigmatophyceae_XX	Nannochloropsis	Nannochloropsis_limnetica	JF489988	97.5	Th38_18S
4	centroid=bc999389b5a27d4438971fe8822066a1cff1f9b1;size=294;;seqs=14	294	14	Eukaryota	TSAR	Stramenopiles-Gyrista	Raphidophyceae	Raphidophyceae_X	Raphidophyceae_XX	Vacuolaria	Vacuolaria_virescens	U41651	99.6	Th38_18S
5	centroid=eaf230941ab3ba8f33109b705229f4c8a8852f17;size=29;;seqs=3	29	3	Eukaryota	TSAR	Alveolata-Ciliophora	Spirotrichea	Oligotrichida	Oligotrichida_X	Oligotrichida_XX	Oligotrichida_XX_sp.	AY919741	98.2	Th38_18S
6	centroid=c97926ae0a5177c7df6a76a4283712886a56aa1f;size=27;;seqs=2	27	2	Eukaryota	Obazoa	Opisthokonta-Metazoa	Platyhelminthes	Turbellaria	Catenulida	Stenostomum	Stenostomum_sp.	FJ196330	99.7	Th38_18S
7	centroid=99e93d81e5501622d76287d260bdd7e82c68cdd8;size=54;;seqs=2	54	2	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Vampyrellida	Leptophryidae	Leptophryidae_X	Leptophryidae_XX	KC511080	97.5	Th38_18S
8	centroid=b9d94d5725485bc6b577f3d2dcd6205abeb8da82;size=33;;seqs=1	33	1	Eukaryota	TSAR	Alveolata-Ciliophora	Spirotrichea	Euplotia	Aspidiscidae	Aspidisca	Aspidisca_sp.	FJ577826	93.1	Th38_18S
9	centroid=2fd61167dd7376824d355679ba3643cc1f4f307b;size=28;;seqs=1	28	1	Eukaryota	Obazoa	Opisthokonta-Metazoa	Arthropoda	Chelicerata	Arachnida	Amblyseius	Amblyseius_sp.	FJ911815	98.8	Th38_18S
10	centroid=0734eb6d1798df3067615c31d80fcb125f1f032a;size=30;;seqs=6	30	6	Eukaryota	TSAR	Alveolata-Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Nematopsis	Nematopsis_temporariae	KT717636	98.7	Th38_18S
