centroid=cf2495a285b7fa5d2c1af7017fb5f930fecf3c1d;size=95;;seqs=3	KY124641;tax=k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Endomyxa,o:Vampyrellida,f:Placopodidae,g:Placopus,s:Placopus_flabellus_HR01	99.9	1586	0	0	1	1586	1	1731	-1	0
centroid=1ba0c834678c28c38ec4e071d5423105cc967070;size=1996;;seqs=34	AJ853450.1.1758_U;tax=k:Eukaryota,d:Archaeplastida,p:Streptophyta-Streptophyta_X,c:Zygnemophyceae,o:Zygnemophyceae_X,f:Zygnemophyceae_XX,g:Zygnema,s:Zygnema_pseudogedeanum	99.7	1596	3	0	1	1596	1	1758	-1	0
centroid=43dfa293b4c312657f124688b04544c05e6b8d0a;size=40;;seqs=1	HQ191300.1.2632_U;tax=k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Fungi_X,o:Fungi_XX,f:Fungi_XXX,g:Fungi_XXXX,s:Fungi_XXXX_sp.	97.6	1576	56	6	1	1579	1	2632	-1	0
centroid=c1c41d217565d3aba320b6fa9c3b3c6b25fb99bd;size=318;;seqs=16	LC361441.1.2416_U;tax=k:Eukaryota,d:Archaeplastida,p:Streptophyta-Streptophyta_X,c:Zygnemophyceae,o:Zygnemophyceae_X,f:Zygnemophyceae_XX,g:Closterium,s:Closterium_sp.	98.2	1600	28	3	1	1598	1	1812	-1	0
centroid=8c645a964160e7f551f8de54f8a6b0d7c86d04f7;size=25;;seqs=12	LC086341.1.1743_U;tax=k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Chloromonas,s:Chloromonas_oogama	99.4	1584	10	0	1	1584	1	1743	-1	0
centroid=7caa1d23b803478b3dff79db70e22766b8f2390f;size=15;;seqs=1	LR812489.1.10223_U;tax=k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Bacillariophyceae,o:Bacillariales,f:Bacillariaceae,g:Fragilariopsis,s:Fragilariopsis_kerguelensis	95.7	1003	416	26	1	878	1	10223	-1	0
centroid=c2fd0cd666b6f273beef505aa413ede2fa61520f;size=286;;seqs=4	XXXXXXXX;tax=k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Endomyxa,o:Vampyrellida,f:Vampyrellidae,g:Vampyrella,s:Vampyrella_lateritia_strain_VL09	99.7	1537	3	0	1	1603	1	1675	-1	0
centroid=030b3a67453956369293361ff482fe71acf3f504;size=12;;seqs=2	DQ413048.1.1710_U;tax=k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Oedogoniales,f:Oedogoniales_X,g:Oedogonium,s:Oedogonium_sp.	88.5	1689	185	10	1	1708	1	1710	-1	0
centroid=529eef53d0b764a82b763d60af3213b11ad61c92;size=29;;seqs=1	MT117945.1.6278_U;tax=k:Eukaryota,d:Archaeplastida,p:Prasinodermophyta-Prasinodermophyta_X,c:Prasinodermophyceae,o:Prasinodermales,f:Prasinodermaceae,g:Prasinoderma,s:Prasinoderma_singulare	92.1	1056	474	22	1	963	1	6278	-1	0
centroid=4884c20ec9a8fc68f9b470a8c2ddb43fdffddd88;size=23;;seqs=51	EU123943.1.1689_U;tax=k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Oedogoniales,f:Oedogoniales_X,g:Oedogonium,s:Oedogonium_cardiacum	99.6	1556	5	0	1	1587	1	1689	-1	0
centroid=0f99390658ca9a5f195d4b186d6c4a6e22ea5a34;size=15;;seqs=4	KX889639.1.2362_U;tax=k:Eukaryota,d:Excavata,p:Discoba-Euglenozoa,c:Euglenida,o:Euglenophyceae,f:Euglenaceae,g:Euglena,s:Euglena_deses	94.8	2207	115	6	1	2094	1	2362	-1	0
centroid=579a579d28d607772a6f6483546307c2f7ea07a9;size=12;;seqs=1	X52949.1.5566_U;tax=k:Eukaryota,d:Excavata,p:Metamonada-Fornicata,c:Fornicata_X,o:Diplomonadida,f:Hexamitidae,g:Giardia,s:Giardia_intestinalis	89.5	1195	557	24	1	1170	1	5566	-1	0
centroid=4a08e2d8d5caee5fc446418ecfe9725c0369f4b7;size=20;;seqs=1	DQ903678.1.7257_G;tax=k:Eukaryota,d:Amoebozoa,p:Evosea-Eumycetozoa,c:Myxogastria_Fuscisporidia,o:Physarida,f:Didymiidae,g:Lepidoderma,s:Lepidoderma_tigrinum	89.7	1582	711	34	1	1441	1	7257	-1	0
centroid=e5348fc560e5b2e9dcaf3b56d81617e8dcecd2b9;size=8;;seqs=2	AJ347776.1.1441_U;tax=k:Archaea,d:TACK,p:Thaumarchaeota-Thaumarchaeota_X,c:Nitrososphaeria,o:Nitrosopumilales,f:Nitrosopumilaceae,g:Candidatus_Nitrosopumilus,s:Candidatus_Nitrosopumilus_sp.	98.5	1400	17	2	1	1420	1	1399	-1	0
centroid=476d3250f36a3e0c865b8243769ae38a25150665;size=11;;seqs=1	LR812489.1.10223_U;tax=k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Bacillariophyceae,o:Bacillariales,f:Bacillariaceae,g:Fragilariopsis,s:Fragilariopsis_kerguelensis	94.5	1191	526	32	1	1135	1	10223	-1	0
centroid=947c01d97ff79b3d22523459b263e11a76537292;size=8;;seqs=1	KF207869.1.1743_U;tax=k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Filosa-Sarcomonadea,o:Glissomonadida,f:Allapsidae,g:Viridiraptor,s:Viridiraptor_invadens	91.6	1725	138	6	1	1723	1	1743	-1	0
centroid=1af0a75dfb2b7cf320bc9338d8cf9d2fd0c2cc51;size=8;;seqs=1	KC671416.1.1743_U;tax=k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Basidiomycota,o:Ustilaginomycotina,f:Exobasidiomycetes,g:Exobasidiomycetes_X,s:Exobasidiomycetes_X_sp.	99.9	1569	0	0	1	1569	1	1743	-1	0
centroid=eb195b4c903f9d3555225faa69470e973f3749f2;size=9;;seqs=1	KF207869.1.1743_U;tax=k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Filosa-Sarcomonadea,o:Glissomonadida,f:Allapsidae,g:Viridiraptor,s:Viridiraptor_invadens	91.6	1844	148	7	1	1869	1	1743	-1	0
centroid=04b93e5c225eb54484e27c86d45aa9f92c5ff8da;size=5;;seqs=1	HE609039;tax=k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Endomyxa,o:Vampyrellida,f:Leptophryidae,g:Leptophrys,s:Leptophrys_vorax_strain_LV04	96.0	1096	61	2	1	1161	1	1607	-1	0
centroid=12d9a460b822e0a5bf24ae402d309dc6fd9c3eaa;size=7;;seqs=19	HE609037;tax=k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Endomyxa,o:Vampyrellida,f:Leptophryidae,g:Leptophrys,s:Leptophrys_vorax_strain_LV02	98.7	1603	19	2	1	1601	1	1727	-1	0
centroid=179094ac4537c067f42c77c54cd067bb15fd675c;size=8;;seqs=1	LR812489.1.10223_U;tax=k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Bacillariophyceae,o:Bacillariales,f:Bacillariaceae,g:Fragilariopsis,s:Fragilariopsis_kerguelensis	96.0	823	394	12	1	790	1	10223	-1	0
centroid=08b4c06ff9539a8b7ad7be0f5db4ae286e3c7262;size=7;;seqs=2	LR812489.1.10223_U;tax=k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Bacillariophyceae,o:Bacillariales,f:Bacillariaceae,g:Fragilariopsis,s:Fragilariopsis_kerguelensis	95.7	906	413	23	1	828	1	10223	-1	0
centroid=1864cb4848f0000aa19b19d45403a9db7077e930;size=6;;seqs=1	AF525309.1.1684_U;tax=k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Ascomycota,o:Pezizomycotina,f:Eurotiomycetes,g:Arachnomyces,s:Arachnomyces_nodosetosus	99.9	1553	0	0	1	1591	1	1684	-1	0
centroid=e05b8dde1154d0b8ac64506cbd50f0f1e5c62332;size=9;;seqs=1	MW591541.1.6154_U;tax=k:Eukaryota,d:TSAR,p:Stramenopiles-Bigyra,c:Opalozoa,o:Placidida,f:Placidiales,g:Placidia,s:Placidia_cafeteriopsis	91.8	1001	479	24	1	971	1	6154	-1	0
